Count of TerminationType,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area Sales Manager,,,,,,,,,,,,,,,,,,,,,,,Area Sales Manager Total,Production Technician I,,,,Production Technician I Total,Grand Total
,Zone A,,,,,,,,Zone A Total,Zone B,,,,,,Zone B Total,Zone C,,,,,,Zone C Total,,Zone A,Zone A Total,Zone C,Zone C Total,,
Row Labels,CO,FL,IN,KY,MA,ND,NV,TX,,CA,CO,CT,IN,MA,TX,,CO,GA,KY,MA,OR,TX,,,MA,,MA,,,
3427,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
uriah.bridges@bilearner.com,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Finance & Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
3428,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
paula.small@bilearner.com,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
Aerial,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
3429,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,1
edward.buck@bilearner.com,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,1
General - Sga,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,1
3430,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,1
michael.riordan@bilearner.com,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,1
Finance & Accounting,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,1
3431,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
jasmine.onque@bilearner.com,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
General - Con,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
3432,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,1
maruk.fraval@bilearner.com,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,1
Field Operations,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,1
3433,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1
latia.costa@bilearner.com,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1
General - Eng,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1
3434,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1
sharlene.terry@bilearner.com,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1
Engineers,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1
3435,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1
jac.mckinzie@bilearner.com,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1
Executive,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1
3436,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1
joseph.martins@bilearner.com,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1
Engineers,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1
3437,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1
myriam.givens@bilearner.com,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1
Field Operations,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1
3438,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1
dheepa.nguyen@bilearner.com,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1
General - Con,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1
3439,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
bartholemew.khemmich@bilearner.com,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
Splicing,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
3440,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
xana.potts@bilearner.com,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
Finance & Accounting,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
3441,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,1
prater.jeremy@bilearner.com,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,1
General - Con,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,1
3442,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1
kaylah.moon@bilearner.com,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1
Field Operations,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1
3443,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
kristen.tate@bilearner.com,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
Project Management - Con,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
3444,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
bobby.rodgers@bilearner.com,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
Engineers,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
3445,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
reid.park@bilearner.com,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
Project Management - Con,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
3446,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1
hector.dalton@bilearner.com,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1
Field Operations,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1
3447,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1
mariela.schultz@bilearner.com,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1
General - Con,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1
3448,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1
angela.molina@bilearner.com,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1
Engineers,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1
3449,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,1
gerald.preston@bilearner.com,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,1
General - Eng,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,1
3450,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1
reilly.moyer@bilearner.com,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1
Field Operations,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1
3451,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1
carlee.french@bilearner.com,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1
General - Con,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1
